Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
UT Yadav,4,0,36,2,9.00,10,3,2,1,0
CR Woakes,3,0,31,1,10.33,9,2,3,1,0
Washington Sundar,2,0,32,0,16.00,2,4,1,1,0
Mohammed Siraj,4,0,34,0,8.50,11,1,2,2,0
YS Chahal,3,0,32,0,10.66,7,0,4,0,0
CJ Anderson,4,0,47,2,11.75,10,8,1,2,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
JJ Bumrah,4,0,28,2,7.00,12,3,1,1,0
KH Pandya,4,0,28,3,7.00,9,3,0,1,0
MJ McClenaghan,3,0,24,2,8.00,4,1,1,0,0
Mustafizur Rahman,4,0,55,0,13.75,3,4,4,0,1
M Markande,4,0,25,1,6.25,9,1,1,1,0
HH Pandya,1,0,4,0,4.00,2,0,0,0,0

