BATSMEN,,R,B,4s,6s,SR

S Dhawan,c Nair b Rajpoot,11,8,2,0,137.50
KS Williamson (c),c Ashwin b Rajpoot,0,3,0,0,0.00
WP Saha †,c Tye b Rajpoot,6,9,1,0,66.66
MK Pandey, b Rajpoot,54,51,3,1,105.88
Shakib Al Hasan,c Agarwal b Mujeeb Ur Rahman,28,29,3,0,96.55
YK Pathan,not out,21,19,1,1,110.52
Mohammad Nabi,c Agarwal b Rajpoot,4,2,1,0,200.00
BATSMEN,,R,B,4s,6s,SR

KL Rahul †, b Rashid Khan,32,26,4,1,123.07
CH Gayle,c & b Basil Thampi,23,22,1,2,104.54
MA Agarwal,c Pandey b Shakib Al Hasan,12,15,0,0,80.00
KK Nair,lbw b Rashid Khan,13,17,0,0,76.47
AJ Finch,c Pandey b Shakib Al Hasan,8,4,0,1,200.00
MK Tiwary,c Williamson b Sandeep Sharma,1,5,0,0,20.00
R Ashwin (c),c Williamson b Rashid Khan,4,6,0,0,66.66
AJ Tye,lbw b Sandeep Sharma,4,2,1,0,200.00
BB Sran,run out (†Saha),2,5,0,0,40.00
AS Rajpoot, b Basil Thampi,8,9,1,0,88.88
Mujeeb Ur Rahman,not out,10,5,2,0,200.00
