BATSMEN,,R,B,4s,6s,SR
SR Watson,c Plunkett b Mishra,78,40,4,7,195.00
F du Plessis,c Boult b Shankar,33,33,3,1,100.00
SK Raina, b Maxwell,1,2,0,0,50.00
AT Rayudu,run out (†Pant/Boult),41,24,5,1,170.83
MS Dhoni (c) †,not out,51,22,2,5,231.81
RA Jadeja,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
TA Boult,4,0,48,0,12.00,0,0
Avesh Khan,4,0,28,0,7.00,1,0
R Tewatia,2,0,23,0,11.50,0,0
LE Plunkett,3,0,52,0,17.33,0,0
A Mishra,4,0,30,1,7.50,0,0
V Shankar,2,0,22,1,11.00,2,1
GJ Maxwell,1,0,5,1,5.00,0,0

BATSMEN,,R,B,4s,6s,SR
PP Shaw,c Jadeja b Asif,9,5,2,0,180.00
C Munro,c Sharma b Asif,26,16,3,2,162.50
SS Iyer (c),run out (Watson/†Dhoni),13,14,1,0,92.85
RR Pant †,c Jadeja b Ngidi,79,45,7,4,175.55
GJ Maxwell, b Jadeja,6,5,1,0,120.00
V Shankar,not out,54,31,1,5,174.19
R Tewatia,not out,3,4,0,0,75.00

Bowling,O,M,R,W,Econ,WD,NB
L Ngidi,4,0,26,1,6.50,2,0
KM Asif,3,0,43,2,14.33,1,0
SR Watson,2,0,27,0,13.50,0,0
RA Jadeja,4,0,31,1,7.75,1,0
Harbhajan Singh,4,0,26,0,6.50,1,0
DJ Bravo,3,0,43,0,14.33,1,0

