BATSMEN,,R,B,4s,6s,SR
SR Watson,c Shivam Mavi b Narine,36,25,4,2,144.00
F du Plessis, b Chawla,27,15,4,1,180.00
SK Raina,c Johnson b Kuldeep Yadav,31,26,4,0,119.23
AT Rayudu, b Narine,21,17,3,0,123.52
MS Dhoni (c) †,not out,43,25,1,4,172.00
RA Jadeja,c †Karthik b Chawla,12,12,1,0,100.00
KV Sharma,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
MG Johnson,4,0,51,0,12.75,0,0
PP Chawla,4,0,35,2,8.75,0,0
Shivam Mavi,3,0,21,0,7.00,1,0
SP Narine,4,0,20,2,5.00,0,0
AD Russell,1,0,12,0,12.00,1,0
Kuldeep Yadav,4,0,34,1,8.50,1,0

BATSMEN,,R,B,4s,6s,SR
CA Lynn,c Watson b Ngidi,12,6,0,2,200.00
SP Narine,c Bravo b Jadeja,32,20,4,2,160.00
RV Uthappa,c Bravo b Asif,6,8,1,0,75.00
Shubman Gill,not out,57,36,6,2,158.33
RK Singh, b Harbhajan Singh,16,18,2,0,88.88
KD Karthik (c) †,not out,45,18,7,1,250.00

Bowling,O,M,R,W,Econ,WD,NB
L Ngidi,3,0,36,1,12.00,1,0
KM Asif,3,0,32,1,10.66,1,0
SR Watson,2,0,19,0,9.50,1,0
RA Jadeja,4,0,39,1,9.75,2,0
Harbhajan Singh,3,0,20,1,6.66,0,0
DJ Bravo,1.4,0,22,0,13.20,2,0
KV Sharma,1,0,11,0,11.00,0,0

