BATSMEN,,R,B,4s,6s,SR
PP Shaw,c Dhawan b Shakib Al Hasan,9,11,1,0,81.81
JJ Roy,c †Goswami b Shakib Al Hasan,11,13,2,0,84.61
SS Iyer (c),run out (†Goswami/Sandeep Sharma),3,8,0,0,37.50
RR Pant †,not out,128,63,15,7,203.17
HV Patel,run out (Dhawan/Sandeep Sharma/†Goswami),24,17,0,2,141.17
GJ Maxwell,c Hales b Kumar,9,8,1,0,112.50
V Shankar,not out,0,0,0,0,-

Bowling,O,M,R,W,Econ,WD,NB
B Kumar,4,0,51,1,12.75,1,0
Sandeep Sharma,4,0,24,0,6.00,0,0
Shakib Al Hasan,4,0,27,2,6.75,0,0
S Kaul,4,0,48,0,12.00,0,0
Rashid Khan,4,0,35,0,8.75,0,0

BATSMEN,,R,B,4s,6s,SR
AD Hales,lbw b Patel,14,10,3,0,140.00
S Dhawan,not out,92,50,9,4,184.00
KS Williamson (c),not out,83,53,8,2,156.60

Bowling,O,M,R,W,Econ,WD,NB
TA Boult,3.5,0,43,0,11.21,0,0
HV Patel,4,0,32,1,8.00,0,0
S Nadeem,2,0,22,0,11.00,0,0
LE Plunkett,4,0,41,0,10.25,0,0
A Mishra,3,0,29,0,9.66,0,0
V Shankar,1,0,14,0,14.00,1,0
GJ Maxwell,1,0,9,0,9.00,0,0

