BATSMEN,,R,B,4s,6s,SR
KL Rahul †,c Khan b Washington Sundar,47,30,2,4,156.66
MA Agarwal,c †de Kock b Yadav,15,11,3,0,136.36
AJ Finch,lbw b Yadav,0,1,0,0,0.00
Yuvraj Singh, b Yadav,4,4,1,0,100.00
KK Nair, b Khejroliya,29,26,3,0,111.53
MP Stoinis,st †de Kock b Washington Sundar,11,9,0,1,122.22
AR Patel,lbw b Khejroliya,2,3,0,0,66.66
R Ashwin (c),st †de Kock b Chahal,33,21,3,1,157.14
AJ Tye,c Kohli b Woakes,7,7,0,0,100.00
MM Sharma,not out,1,2,0,0,50.00
Mujeeb Ur Rahman,c Khan b Woakes,0,2,0,0,0.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
CR Woakes,3.2,0,36,2,10.80,7,3,2,3,0
UT Yadav,4,0,23,3,5.75,13,3,0,0,0
K Khejroliya,4,0,33,2,8.25,8,4,1,0,0
YS Chahal,4,0,38,1,9.50,6,2,2,0,0
Washington Sundar,4,0,22,2,5.50,8,0,1,0,0

BATSMEN,,R,B,4s,6s,SR
Q de Kock †, b Ashwin,45,34,7,1,132.35
BB McCullum,c Mujeeb Ur Rahman b Patel,0,1,0,0,0.00
V Kohli (c), b Mujeeb Ur Rahman,21,16,4,0,131.25
AB de Villiers,c Nair b Tye,57,40,2,4,142.50
SN Khan,c Nair b Ashwin,0,1,0,0,0.00
Mandeep Singh,run out (sub [Dagar]/†Rahul),22,19,1,0,115.78
CR Woakes,not out,1,2,0,0,50.00
Washington Sundar,not out,9,4,2,0,225.00

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
AR Patel,4,0,25,1,6.25,10,3,0,0,0
R Ashwin,4,0,30,2,7.50,11,4,1,0,0
Mujeeb Ur Rahman,4,0,29,1,7.25,11,2,2,0,0
AJ Tye,4,0,27,1,6.75,7,2,0,1,0
MM Sharma,3.3,0,45,0,12.85,3,5,2,0,0

