BATSMEN,,R,B,M,4s,6s,SR
PP Shaw,c & b Bishoo,134,154,238,19,0,87.01
KL Rahul,lbw b Gabriel,0,4,6,0,0,0.00
CA Pujara,c †Dowrich b Lewis,86,130,194,14,0,66.15
V Kohli (c),c Bishoo b Lewis,139,230,341,10,0,60.43
AM Rahane,c †Dowrich b Chase,41,92,127,5,0,44.56
RR Pant †,c Paul b Bishoo,92,84,121,8,4,109.52
RA Jadeja,not out,100,132,152,5,5,75.75
R Ashwin,c †Dowrich b Bishoo,7,15,18,1,0,46.66
Kuldeep Yadav,lbw b Bishoo,12,32,33,2,0,37.50
UT Yadav,c Lewis b Brathwaite,22,24,22,0,2,91.66
Mohammed Shami,not out,2,6,21,0,0,33.33

Bowling,O,M,R,W,Econ,WD,NB
ST Gabriel,21,1,84,1,4.00,0,2
KMA Paul,15,1,61,0,4.06,0,2
SH Lewis,20,0,93,2,4.65,0,0
D Bishoo,54,3,217,4,4.01,0,0
RL Chase,26,1,137,1,5.26,0,0
KC Brathwaite,13.5,1,47,1,3.39,0,0

BATSMEN,,R,B,M,4s,6s,SR
KC Brathwaite (c), b Mohammed Shami,2,10,11,0,0,20.00
KOA Powell,lbw b Mohammed Shami,1,6,21,0,0,16.66
SD Hope, b Ashwin,10,22,33,2,0,45.45
SO Hetmyer,run out (Jadeja),10,28,34,1,0,35.71
SW Ambris,c Rahane b Jadeja,12,20,33,2,0,60.00
RL Chase, b Ashwin,53,79,123,8,0,67.08
SO Dowrich †, b Kuldeep Yadav,10,35,26,1,0,28.57
KMA Paul,c Pujara b Yadav,47,49,55,7,2,95.91
D Bishoo,not out,17,26,37,3,0,65.38
SH Lewis, b Ashwin,0,3,4,0,0,0.00
ST Gabriel,st †Pant b Ashwin,1,10,14,0,0,10.00

Bowling,O,M,R,W,Econ,WD,NB
Mohammed Shami,9,2,22,2,2.44,0,0
UT Yadav,11,3,20,1,1.81,0,0
R Ashwin,11,2,37,4,3.36,0,0
RA Jadeja,7,1,22,1,3.14,0,0
Kuldeep Yadav,10,1,62,1,6.20,0,0

BATSMEN,,R,B,M,4s,6s,SR
KC Brathwaite (c),c Shaw b Ashwin,10,30,31,2,0,33.33
KOA Powell,c Shaw b Kuldeep Yadav,83,93,128,8,4,89.24
SD Hope,lbw b Kuldeep Yadav,17,34,34,1,1,50.00
SO Hetmyer,c Rahul b Kuldeep Yadav,11,11,10,0,1,100.00
SW Ambris,st †Pant b Kuldeep Yadav,0,3,3,0,0,0.00
RL Chase,c Ashwin b Kuldeep Yadav,20,24,26,3,0,83.33
SO Dowrich †,not out,16,64,64,1,0,25.00
KMA Paul,c Yadav b Jadeja,15,15,14,2,1,100.00
D Bishoo,c †Pant b Ashwin,9,12,11,2,0,75.00
SH Lewis,lbw b Jadeja,4,15,11,1,0,26.66
ST Gabriel,c Kuldeep Yadav b Jadeja,4,5,6,1,0,80.00

Bowling,O,M,R,W,Econ,WD,NB
Mohammed Shami,3,0,11,0,3.66,0,1
R Ashwin,18,2,71,2,3.94,0,0
UT Yadav,3,0,16,0,5.33,0,0
Kuldeep Yadav,14,2,57,5,4.07,0,0
RA Jadeja,12.5,1,35,3,2.72,0,0

